Accession,Species,Genus,Family
NC_073807.1,Lobdovirus arvenecus,Lobdovirus,Atkinsviridae
NC_038953.1,Banana bunchy top alphasatellite 2,Muscarsatellite,Alphasatellitidae
NC_074374.1,Hohrdovirus solicola,Hohrdovirus,Steitzviridae
NC_038348.1,Deltatorquevirus tupai1,Deltatorquevirus,Anelloviridae
NC_017678.1,Chili leaf curl Jaunpur betasatellite,Betasatellite,Tolecusatellitidae
NC_073917.1,Condavirus arvicola,Condavirus,Fiersviridae
NC_047908.1,Przondovirus SHKp152410,Przondovirus,Autographiviridae
NC_076428.1,Capsicum India alphasatellite,Clecrusatellite,Alphasatellitidae
NC_030448.1,Gemykibivirus humas5,Gemykibivirus,Genomoviridae
NC_049827.1,Hanrivervirus damhaus,Hanrivervirus,Drexlerviridae
NC_008923.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_078435.1,Laulavirus alphaviticulum,Laulavirus,Phenuiviridae
NC_035196.1,Giant panda circovirus 4,Circovirus,Circoviridae
NC_001553.1,Tomato apical stunt viroid,Pospiviroid,Pospiviroidae
NC_043365.1,Choristoneura fumiferana entomopoxvirus,Betaentomopoxvirus,Poxviridae
NC_047744.1,Agatevirus Bp8pC,Agatevirus,Herelleviridae
NC_013019.1,Sunn hemp leaf distortion virus,Begomovirus,Geminiviridae
NC_038360.1,Gammatorquevirus homidi13,Gammatorquevirus,Anelloviridae
NC_075436.1,Maize striate mosaic virus,Mastrevirus,Geminiviridae
NC_078087.1,Entomobirnavirus anophelae,Entomobirnavirus,Birnaviridae
NC_040800.1,Actinidia seed borne latent virus,Prunevirus,Betaflexiviridae
NC_048036.1,Maculvirus KF2,Maculvirus,Autographiviridae
NC_010246.1,Magnaporthe oryzae virus 2,Victorivirus,Totiviridae
NC_030296.1,Diciambidensovirus hemipteran1,Diciambidensovirus,Parvoviridae
NC_008552.1,Nerine latent virus,Carlavirus,Betaflexiviridae
NC_001662.1,Amdoparvovirus carnivoran1,Amdoparvovirus,Parvoviridae
NC_001990.1,Nudaurelia capensis beta virus,Betatetravirus,Alphatetraviridae
NC_055347.1,Phlebovirus duraniaense,Phlebovirus,Phenuiviridae
NC_001413.1,Bovine immunodeficiency virus,Lentivirus,Retroviridae
NC_040424.1,Penicillium digitatum polymycovirus 1,Polymycovirus,Polymycoviridae
NC_073821.1,Pihngevirus chorocola,Pihngevirus,Atkinsviridae
NC_038929.1,Beauveria bassiana victorivirus 1,Victorivirus,Totiviridae
NC_034518.1,Orthohantavirus khabarovskense,Orthohantavirus,Hantaviridae
NC_040650.1,Pleione flower breaking virus,Potyvirus,Potyviridae
NC_038963.1,Tomato latent virus,Begomovirus,Geminiviridae
NC_005340.1,Eganvirus PsP3,Eganvirus,Peduoviridae
NC_078660.1,Orthophasmavirus miglotasense,Orthophasmavirus,Phasmaviridae
NC_055532.1,Barhavirus muir,Barhavirus,Rhabdoviridae
NC_009996.1,Rhinovirus C,Enterovirus,Picornaviridae
NC_014080.1,Alphatorquevirus homin7,Alphatorquevirus,Anelloviridae
NC_043291.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_031025.1,Drulisvirus KpV475,Drulisvirus,Autographiviridae
NC_008035.3,Alphabaculovirus anpernyi,Alphabaculovirus,Baculoviridae
NC_003821.3,Betacarmovirus brassicae,Betacarmovirus,Tombusviridae
NC_078595.1,Comovirus capsici,Comovirus,Secoviridae
NC_076143.1,Rhizoctonia magoulivirus 1,Magoulivirus,Botourmiaviridae
NC_074624.1,Gredihovirus neochorocola,Gredihovirus,Steitzviridae
NC_055738.1,Gruunavirus flapper,Gruunavirus,Zierdtviridae
NC_038288.1,Orthotospovirus citrullonecrosis,Orthotospovirus,Tospoviridae
NC_034512.1,Orthonairovirus qalyubense,Orthonairovirus,Nairoviridae
NC_048034.1,Powvirus S08C41,Powvirus,Autographiviridae
NC_040598.1,Alphapolyomavirus suis,Alphapolyomavirus,Polyomaviridae
NC_076613.1,Alphahypovirus japonicum,Alphahypovirus,Hypoviridae
NC_006879.1,Human mastadenovirus G,Mastadenovirus,Adenoviridae
NC_076586.1,Siniperhavirus zoarces,Siniperhavirus,Rhabdoviridae
NC_074576.1,Ferahgovirus geoadaptatum,Ferahgovirus,Steitzviridae
NC_011507.2,Rotavirus A,Rotavirus,Sedoreoviridae
NC_074098.1,Sholavirus caenivivens,Sholavirus,Fiersviridae
NC_030749.1,Malvastrum yellow vein Honghe virus,Begomovirus,Geminiviridae
NC_034553.1,Orthohantavirus maporalense,Orthohantavirus,Hantaviridae
NC_077142.1,Mongoose-associated cyclovirus,Cyclovirus,Circoviridae
NC_007374.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_055396.1,Phlebovirus gloriaense,Phlebovirus,Phenuiviridae
NC_000869.1,Tomato yellow leaf curl Thailand virus,Begomovirus,Geminiviridae
NC_031214.1,Ollusvirus shayangense,Ollusvirus,Aliusviridae
NC_038484.1,Gemycircularvirus ptero1,Gemycircularvirus,Genomoviridae
NC_070674.1,Streptococcus phage CHPC875,Moineauvirus,Aliceevansviridae
NC_022128.1,Ageratum latent virus,Ilarvirus,Bromoviridae
NC_077970.1,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae
NC_044949.1,African swine fever virus,Asfivirus,Asfarviridae
NC_039076.1,Tomato necrotic streak virus,Ilarvirus,Bromoviridae
NC_021536.1,Tefnutvirus siom18,Tefnutvirus,Kyanoviridae
NC_029915.1,Mahlapitsi orthoreovirus,Orthoreovirus,Spinareoviridae
NC_038518.1,Dyopsipapillomavirus 1,Dyopsipapillomavirus,Papillomaviridae
NC_003692.1,Pariacoto virus,Alphanodavirus,Nodaviridae
NC_043073.1,Orthohantavirus nigrorivense,Orthohantavirus,Hantaviridae
NC_078685.1,Stralarivirus lychnis,Stralarivirus,Secoviridae
NC_015585.1,Waewaevirus limezero,Waewaevirus,Autographiviridae
NC_031955.1,Lyssavirus lleida,Lyssavirus,Rhabdoviridae
NC_026810.1,Gemycircularvirus monas1,Gemycircularvirus,Genomoviridae
NC_047833.1,Eganvirus EtG,Eganvirus,Peduoviridae
NC_038901.1,Tomato leaf curl Toliara virus,Begomovirus,Geminiviridae
NC_077808.1,Orthobunyavirus lacrosseense,Orthobunyavirus,Peribunyaviridae
NC_043233.1,Paramecium bursaria Chlorella virus NC1A,Chlorovirus,Phycodnaviridae
NC_001478.1,Digitaria streak virus,Mastrevirus,Geminiviridae
NC_027140.1,Bandavirus bhanjanagarense,Bandavirus,Phenuiviridae
NC_021568.1,Cyclovirus munthu,Cyclovirus,Circoviridae
NC_055562.1,Badnavirus tessellopolysciatis,Badnavirus,Caulimoviridae
NC_055625.1,Betachrysovirus coniothyrii,Betachrysovirus,Chrysoviridae
NC_004646.1,Squash mild leaf curl virus,Begomovirus,Geminiviridae
NC_076350.1,Gemycircularvirus austro1,Gemycircularvirus,Genomoviridae
NC_011509.2,Rotavirus A,Rotavirus,Sedoreoviridae
NC_055305.1,Phlebovirus oriximinaense,Phlebovirus,Phenuiviridae
NC_013099.1,Faba bean necrotic stunt virus,Nanovirus,Nanoviridae
NC_048086.1,Novosibvirus stubb,Novosibvirus,Demerecviridae
NC_040789.1,Alphanudivirus alterdromelanogasteris,Alphanudivirus,Nudiviridae
NC_048130.1,Przondovirus KN41,Przondovirus,Autographiviridae
NC_067214.1,Buchavirus oralis,Buchavirus,Suoliviridae
NC_040563.1,Rhizoctonia mitovirus 1,Mitovirus,Mitoviridae
NC_015285.1,Brizovirus syn33,Brizovirus,Kyanoviridae
NC_011086.1,Diascia yellow mottle virus,Tymovirus,Tymoviridae
NC_078150.1,Orthonairovirus abuminaense,Orthonairovirus,Nairoviridae
NC_038499.1,Gemykibivirus rhina1,Gemykibivirus,Genomoviridae
NC_032405.1,Bermuda grass latent virus,Panicovirus,Tombusviridae
NC_047853.1,Kochikohdavirus EF24C,Kochikohdavirus,Herelleviridae
NC_038496.1,Gemykibivirus humas3,Gemykibivirus,Genomoviridae
NC_052230.1,Dichorhavirus leprosis,Dichorhavirus,Rhabdoviridae
NC_036877.1,Cyclovirus insaan,Cyclovirus,Circoviridae
NC_040363.1,Farfantepenaeus duorarum circovirus,Circovirus,Circoviridae
NC_038813.1,Cardamom bushy dwarf virus,Babuvirus,Nanoviridae
NC_026429.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_040439.1,Chicken picobirnavirus,Picobirnavirus,Picobirnaviridae
NC_006876.1,Tomato leaf curl Mayotte virus,Begomovirus,Geminiviridae
NC_038274.1,Orthohantavirus asamaense,Orthohantavirus,Hantaviridae
NC_015718.1,Iteradensovirus lepidopteran5,Iteradensovirus,Parvoviridae
NC_015488.1,Rhynchosia mild mosaic virus,Begomovirus,Geminiviridae
NC_038777.1,Lilac ring mottle virus,Ilarvirus,Bromoviridae
NC_040632.1,Gigaspora margarita giardia-like virus 1,Giardiavirus,Totiviridae
NC_022750.1,Peduovirus fiAA91ss,Peduovirus,Peduoviridae
NC_027545.1,Wad Medani virus,Orbivirus,Sedoreoviridae
NC_018864.1,Tomato leaf curl Yemen betasatellite,Betasatellite,Tolecusatellitidae
NC_025806.1,Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_078606.1,Sardinovirus pilchardi,Sardinovirus,Orthomyxoviridae
NC_043288.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_075438.1,Scoliodonvirus scoliodontis,Scoliodonvirus,Paramyxoviridae
NC_028962.1,Sepunavirus IPLAC1C,Sepunavirus,Herelleviridae
NC_006011.1,African horse sickness virus,Orbivirus,Sedoreoviridae
NC_043452.1,Bandavirus dabieense,Bandavirus,Phenuiviridae
NC_074220.1,Alehxovirus asiovicinum,Alehxovirus,Steitzviridae
NC_014395.1,Phlebovirus riftense,Phlebovirus,Phenuiviridae
NC_044947.1,African swine fever virus,Asfivirus,Asfarviridae
NC_004185.1,Colorado tick fever coltivirus,Coltivirus,Spinareoviridae
NC_052685.1,Quaranjavirus chadense,Quaranjavirus,Orthomyxoviridae
NC_077193.1,Artemisia capillaris nucleorhabdovirus 1,Alphanucleorhabdovirus,Rhabdoviridae
NC_026809.1,Gemykibivirus humas3,Gemykibivirus,Genomoviridae
NC_078374.1,Emaravirus parkinsoniae,Emaravirus,Fimoviridae
NC_074167.1,Puirovirus lutenecus,Puirovirus,Solspiviridae
NC_028840.1,Tequintavirus slur09,Tequintavirus,Demerecviridae
NC_003882.1,Coleus blumei viroid,Coleviroid,Pospiviroidae
NC_001669.1,Betapolyomavirus macacae,Betapolyomavirus,Polyomaviridae
NC_029920.1,Mahlapitsi orthoreovirus,Orthoreovirus,Spinareoviridae
NC_007346.1,Emiliania huxleyi virus 86,Coccolithovirus,Phycodnaviridae
NC_070653.1,Streptococcus phage 73,Moineauvirus,Aliceevansviridae
NC_073939.1,Dosmizivirus solihabitans,Dosmizivirus,Fiersviridae
NC_010586.1,Aquareovirus G,Aquareovirus,Spinareoviridae
NC_077047.1,Kenyan potato cytorhabdovirus,Cytorhabdovirus,Rhabdoviridae
NC_040750.1,Cow vetch latent virus,Nanovirus,Nanoviridae
NC_049840.1,Webervirus FZ10,Webervirus,Drexlerviridae
NC_007543.1,Rotavirus C,Rotavirus,Sedoreoviridae
NC_010947.1,Allamanda leaf curl virus,Begomovirus,Geminiviridae
NC_018478.1,Orthobunyavirus simbuense,Orthobunyavirus,Peribunyaviridae
NC_007569.1,Rotavirus C,Rotavirus,Sedoreoviridae
NC_016764.1,Bifseptvirus Bf7,Bifseptvirus,Autographiviridae
NC_039082.1,Euphorbia mosaic Peru virus,Begomovirus,Geminiviridae
NC_033618.1,Pea leaf distortion betasatellite,Betasatellite,Tolecusatellitidae
NC_040699.1,Alphanudivirus droinnubilae,Alphanudivirus,Nudiviridae
NC_076261.1,Ephemerovirus hayes,Ephemerovirus,Rhabdoviridae
NC_001944.1,Circovirus parrot,Circovirus,Circoviridae
NC_032222.1,Hubei chipolycivirus,Chipolycivirus,Polycipiviridae
NC_009562.1,Alternanthera yellow vein betasatellite,Betasatellite,Tolecusatellitidae
NC_049431.1,Dorisvirus 49B3,Dorisvirus,Schitoviridae
NC_074265.1,Bahnicevirus solivivens,Bahnicevirus,Steitzviridae
NC_010356.1,Glossinavirus glopallidipedis,Glossinavirus,Hytrosaviridae
NC_024908.1,Xitorquevirus molos1,Xitorquevirus,Anelloviridae
NC_076393.1,Penicillimonavirus betapenicillii,Penicillimonavirus,Mymonaviridae
NC_033841.1,Phlebovirus urucuriense,Phlebovirus,Phenuiviridae
NC_031455.1,Sida chlorotic vein virus,Begomovirus,Geminiviridae
NC_022563.1,Squirrelpox virus,Sciuripoxvirus,Poxviridae
NC_047858.1,Acadevirus PM116,Acadevirus,Autographiviridae
NC_078463.1,Rhizoctonia solani orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
NC_077151.1,Cnidium virus 1,Nucleorhabdovirus,Rhabdoviridae
NC_048135.1,Kayfunavirus EcpYZU01,Kayfunavirus,Autographiviridae
NC_027715.1,Bandavirus albatrossense,Bandavirus,Phenuiviridae
NC_040726.1,Rhizophagus diaphanum mitovirus 2,Mitovirus,Mitoviridae
NC_038952.1,Wound tumor virus,Phytoreovirus,Sedoreoviridae
NC_040694.1,Rhinolophus pusillus bocaparvovirus 2,Bocaparvovirus,Parvoviridae
NC_028702.1,Piedvirus IMEDE1,Piedvirus,Autographiviridae
NC_001634.1,Soymovirus virgarachidis,Soymovirus,Caulimoviridae
NC_031292.1,Wenrivirus penaei,Wenrivirus,Phenuiviridae
NC_038653.1,Oat sterile dwarf virus,Fijivirus,Spinareoviridae
NC_006647.1,Bracoviriform congregatae,Bracoviriform,Polydnaviriformidae
NC_076337.1,Etatorquevirus felid3,Etatorquevirus,Anelloviridae
NC_040401.1,Blunervirus camelliae,Blunervirus,Kitaviridae
NC_078270.1,Orthobunyavirus trinitiense,Orthobunyavirus,Peribunyaviridae
NC_031015.2,Claudivirus claudi,Claudivirus,Salasmaviridae
NC_078023.1,Pistacia emaravirus,Emaravirus,Fimoviridae
NC_021543.1,Rotavirus B,Rotavirus,Sedoreoviridae
NC_007358.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_071074.1,Streptococcus phage P7571,Brussowvirus,Aliceevansviridae
NC_078897.1,Orthobunyavirus bakauense,Orthobunyavirus,Peribunyaviridae
NC_035190.1,Euonymus yellow vein virus,Potexvirus,Alphaflexiviridae
NC_016162.1,Vicialiavirus VCY,Vicialiavirus,Inoviridae
NC_077935.1,Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae
NC_028470.1,Alphafusarivirus pleosporae,Alphafusarivirus,Fusariviridae
NC_070692.1,Streptococcus phage P3684,Moineauvirus,Aliceevansviridae
NC_075325.1,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae
NC_008193.1,Irtavirus F108,Irtavirus,Peduoviridae
NC_027054.1,Aichivirus C,Kobuvirus,Picornaviridae
NC_049396.1,Kuttervirus SP1,Kuttervirus,Ackermannviridae
NC_076439.1,Porprismacovirus chicas2,Porprismacovirus,Smacoviridae
NC_001934.1,Potato yellow mosaic virus,Begomovirus,Geminiviridae
NC_032417.1,Hermit mivirus,Mivirus,Chuviridae
NC_008854.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_038293.1,Epsilonarterivirus hemcep,Epsilonarterivirus,Arteriviridae
NC_040534.1,Alphamesonivirus 11,Alphamesonivirus,Mesoniviridae
NC_048042.1,Webervirus TAH8,Webervirus,Drexlerviridae
NC_010984.1,Alternaria alternata virus 1,Alternavirus,Alternaviridae
NC_026769.1,Betapolyomavirus tertidobsoniae,Betapolyomavirus,Polyomaviridae
NC_075329.1,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae
NC_077925.1,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae
NC_043402.1,Trocara virus,Alphavirus,Togaviridae
NC_055755.1,Foxborovirus NatB6,Foxborovirus,Zierdtviridae
NC_048700.1,Kaypoctavirus KP8,Kaypoctavirus,Schitoviridae
NC_040606.1,Malacosoma neustria nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
NC_027340.1,Nezavisimistyvirus Ea2809,Nezavisimistyvirus,Ackermannviridae
NC_043220.1,Alphachrysovirus fusarii,Alphachrysovirus,Chrysoviridae
NC_076798.1,Scleroulivirus thetaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_040752.1,Picobirnavirus sp.,Picobirnavirus,Picobirnaviridae
NC_011202.1,Human mastadenovirus B,Mastadenovirus,Adenoviridae
NC_076287.1,Gemykrogvirus apime1,Gemykrogvirus,Genomoviridae
NC_002519.1,Siovirus americense,Siovirus,Zobellviridae
NC_017987.1,Sida yellow mosaic China virus,Begomovirus,Geminiviridae
NC_074072.1,Psehatovirus edaphadaptatum,Psehatovirus,Fiersviridae
NC_001505.2,Betapolyomavirus secumuris,Betapolyomavirus,Polyomaviridae
NC_074174.1,Wishivirus defluviicola,Wishivirus,Solspiviridae
NC_002691.1,Nodamura virus,Alphanodavirus,Nodaviridae
NC_010328.1,Malachra yellow vein mosaic virus-associated satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_024625.1,Peridroma alphabaculovirus,Alphabaculovirus,Baculoviridae
NC_029122.1,Orthonairovirus japonicum,Orthonairovirus,Nairoviridae
NC_062764.1,Diorhovirus copri,Diorhovirus,Intestiviridae
NC_074325.1,Gredihovirus pedenecus,Gredihovirus,Steitzviridae
NC_004200.1,Banna virus,Seadornavirus,Sedoreoviridae
NC_078119.1,Reptilian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_016996.1,Common moorhen coronavirus HKU21,Deltacoronavirus,Coronaviridae
NC_001615.3,Betanucleorhabdovirus retesonchi,Betanucleorhabdovirus,Rhabdoviridae
NC_075314.1,Gemycircularvirus lepam3,Gemycircularvirus,Genomoviridae
NC_006561.1,Circovirus duck,Circovirus,Circoviridae
NC_038640.1,Aquareovirus E,Aquareovirus,Spinareoviridae
NC_038973.1,Whitefly associated Guatemala alphasatellite 2,Clecrusatellite,Alphasatellitidae
NC_055652.1,Cilevirus passiflorae,Cilevirus,Kitaviridae
NC_027292.1,Pifdecavirus Pf10,Pifdecavirus,Autographiviridae
NC_074578.1,Frobavirus limivivens,Frobavirus,Steitzviridae
NC_022644.1,East African cassava mosaic Malawi virus,Begomovirus,Geminiviridae
NC_038821.1,Quaranjavirus quaranfilense,Quaranjavirus,Orthomyxoviridae
NC_004290.1,Scindoambidensovirus orthopteran1,Scindoambidensovirus,Parvoviridae
NC_043652.1,Orthobunyavirus biraoense,Orthobunyavirus,Peribunyaviridae
NC_036476.1,Piscine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_015784.2,Badnavirus venavitis,Badnavirus,Caulimoviridae
NC_004640.1,Sweet potato leaf curl Georgia virus,Begomovirus,Geminiviridae
NC_024486.1,Duck aviadenovirus B,Aviadenovirus,Adenoviridae
NC_003743.1,Turnip yellows virus,Polerovirus,Solemoviridae
NC_043474.1,Shingleback nidovirus 1,Pregotovirus,Tobaniviridae
NC_025396.1,Ephemerovirus kimberley,Ephemerovirus,Rhabdoviridae
NC_000858.1,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae
NC_038341.1,Alphatorquevirus homin21,Alphatorquevirus,Anelloviridae
NC_048732.1,Yonseivirus seifer,Yonseivirus,Casjensviridae
NC_038309.1,Enterovirus H,Enterovirus,Picornaviridae
NC_008941.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_024773.1,Porcine associated porprismacovirus 7,Porprismacovirus,Smacoviridae
NC_052931.1,Quaranjavirus johnstonense,Quaranjavirus,Orthomyxoviridae
NC_025810.1,Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_025896.1,Betapolyomavirus secuchlopygerythrus,Betapolyomavirus,Polyomaviridae
NC_055309.1,Phlebovirus riograndense,Phlebovirus,Phenuiviridae
NC_074864.1,Pepper leaf curl Lahore virus,Begomovirus,Geminiviridae
NC_055723.1,Tequatrovirus fps90,Tequatrovirus,Straboviridae
NC_007222.1,Penicillium stoloniferum virus F,Gammapartitivirus,Partitiviridae
NC_025435.1,Strawberry polerovirus 1,Polerovirus,Solemoviridae
NC_034526.1,Orthohantavirus sangassouense,Orthohantavirus,Hantaviridae
NC_017004.1,Cassava mosaic Madagascar virus,Begomovirus,Geminiviridae
NC_020101.1,Aspergillus foetidus dsRNA mycovirus,Alternavirus,Alternaviridae
NC_055880.1,Lahndsivirus rarus,Lahndsivirus,Steigviridae
NC_076815.1,Penoulivirus epsilonplasmoparae,Penoulivirus,Botourmiaviridae
NC_004303.1,Brussowvirus bvO1205,Brussowvirus,Aliceevansviridae
NC_073810.1,Lobdovirus chorovivens,Lobdovirus,Atkinsviridae
NC_008794.1,Crassocephalum yellow vein virus,Begomovirus,Geminiviridae
NC_025246.1,Circovirus catfish,Circovirus,Circoviridae
NC_029126.1,Rosellinia necatrix megabirnavirus 2-W8,Megabirnavirus,Megabirnaviridae
NC_076939.1,Vesiculovirus mediterranean,Vesiculovirus,Rhabdoviridae
NC_076961.1,Cotton leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_078950.1,Orthobunyavirus bushbushense,Orthobunyavirus,Peribunyaviridae
NC_038415.1,Cyclovirus homa,Cyclovirus,Circoviridae
NC_004911.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_075562.1,Varicellovirus phocidalpha1,Varicellovirus,Orthoherpesviridae
NC_021587.1,Rotavirus G,Rotavirus,Sedoreoviridae
NC_005336.1,Orf virus,Parapoxvirus,Poxviridae
NC_033081.1,Bavaria virus,Bavovirus,Caliciviridae
NC_020103.1,Aspergillus foetidus dsRNA mycovirus,Alternavirus,Alternaviridae
NC_076343.1,Gemykibivirus haeme4,Gemykibivirus,Genomoviridae
NC_009942.1,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae
NC_001930.1,Bean dwarf mosaic virus,Begomovirus,Geminiviridae
NC_055466.1,Alphanucleorhabdovirus physostegiae,Alphanucleorhabdovirus,Rhabdoviridae
NC_028894.1,Gaprivervirus vr20,Gaprivervirus,Straboviridae
NC_003688.1,Cucurbit aphid-borne yellows virus,Polerovirus,Solemoviridae
NC_043443.1,Hartmanivirus haartmani,Hartmanivirus,Arenaviridae
NC_010326.1,Phikmvvirus LUZ19,Phikmvvirus,Autographiviridae
NC_073916.1,Condavirus arvenecus,Condavirus,Fiersviridae
NC_047738.1,Paadamvirus RHEph01,Paadamvirus,Autographiviridae
NC_031018.1,Kayfunavirus SH4,Kayfunavirus,Autographiviridae
NC_011109.1,Upsilonpapillomavirus 1,Upsilonpapillomavirus,Papillomaviridae
NC_014240.1,Broome orthoreovirus,Orthoreovirus,Spinareoviridae
NC_043533.1,Prunus latent virus,Grablovirus,Geminiviridae
NC_008844.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_015150.1,Alphapolyomavirus nonihominis,Alphapolyomavirus,Polyomaviridae
NC_007044.1,Bracoviriform demolitoris,Bracoviriform,Polydnaviriformidae
NC_002657.1,Pestivirus suis,Pestivirus,Flaviviridae
NC_076391.1,Sclerotimonavirus penicillii,Sclerotimonavirus,Mymonaviridae
NC_019448.1,Kayvirus G15,Kayvirus,Herelleviridae
NC_043069.1,Orthohantavirus asikkalaense,Orthohantavirus,Hantaviridae
NC_016962.1,Bebaru virus,Alphavirus,Togaviridae
NC_055719.1,Shandvirus sh35,Shandvirus,Kyanoviridae
NC_076885.1,Badnavirus tessellocastaneae,Badnavirus,Caulimoviridae
NC_074389.1,Iwahcevirus pelovicinum,Iwahcevirus,Steitzviridae
NC_039049.1,Protoparvovirus primate2,Protoparvovirus,Parvoviridae
NC_074373.1,Hohrdovirus solenecus,Hohrdovirus,Steitzviridae
NC_055195.1,Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae
NC_013638.1,Tunggulvirus f2,Tunggulvirus,Autographiviridae
NC_010953.1,Macroptilium golden mosaic virus,Begomovirus,Geminiviridae
NC_030311.1,Cotton yellow mosaic virus,Begomovirus,Geminiviridae
